"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Barcode","Option1 name","Option1 value","Option1 Linked To","Option2 name","Option2 value","Option2 Linked To","Option3 name","Option3 value","Option3 Linked To","Price","Compare-at price","Cost per item","Charge tax","Tax code","Unit price total measure","Unit price total measure unit","Unit price base measure","Unit price base measure unit","Inventory tracker","Inventory quantity","Continue selling when out of stock","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Product image URL","Image position","Image alt text","Variant image URL","Gift card","SEO title","SEO description","Color (product.metafields.shopify.color-pattern)","Google Shopping / Google product category","Google Shopping / Gender","Google Shopping / Age group","Google Shopping / Manufacturer part number (MPN)","Google Shopping / Ad group name","Google Shopping / Ads labels","Google Shopping / Condition","Google Shopping / Custom product","Google Shopping / Custom label 0","Google Shopping / Custom label 1","Google Shopping / Custom label 2","Google Shopping / Custom label 3","Google Shopping / Custom label 4","Metafield: custom.specifications [json]"
"","mq7500-si-silent-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_51766647651.jpeg","6","Mq7500 Si Silent Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"Mq12500 Oi Remote Control Inverter Generator 8000 Max Starting Watts","mq12500-oi-remote-control-inverter-generator-8000-max-starting-watts","Mq12500 Oi Remote Control Inverter Generator 8000 Max Starting Watts","AIpower Kuwait","Generator","Inverter Generator","Generator, Inverter Generator, Inverter","TRUE","Active","AIP-21","","Title","Default Title","","","","","","","","295","","","TRUE","","","","","","shopify","0","DENY","70000","g","TRUE","manual","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647614.jpeg","1","Mq12500 Oi Remote Control Inverter Generator 8000 Max Starting Watts","","FALSE","Mq12500 Oi Remote Control Inverter Generator 8000 Max Starting Watts","MQ12500-OI Remote Control Inverter Generator 8000 Max Starting WattsRated Watts :- 7000W Max Starting Watts :- 8000W Volts :- 230V Phase, Frequency :- Single, 50Hz/60Hz Starting Method :- Electrical Horse Power (HP) :- 18.0 HP Fuel Tank Capacity :- 25L Engine Oil Capacity :- 1.1L Noise Level :- 82.6dBA @ 75% Socket :- ","","","","","","Inverter Generator","Generator","New","FALSE","","","","","","{""rated_watts"":""7000W"",""max_starting_watts"":""8000W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""18.0 HP"",""fuel_tank_capacity"":""25L"",""engine_oil_capacity"":""1.1L"",""noise_level"":""82.6dBA @ 75%"",""socket"":""1 X 13A, 1 X 32A"",""net_weight"":""70KG"",""dimension"":""680mm X 535mm X 615mm"",""fuel_type"":""Inverter""}"
"","mq12500-oi-remote-control-inverter-generator-8000-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647615.jpeg","2","Mq12500 Oi Remote Control Inverter Generator 8000 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq12500-oi-remote-control-inverter-generator-8000-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647615.jpeg","3","Mq12500 Oi Remote Control Inverter Generator 8000 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq12500-oi-remote-control-inverter-generator-8000-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647616.jpeg","4","Mq12500 Oi Remote Control Inverter Generator 8000 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq12500-oi-remote-control-inverter-generator-8000-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647616.jpeg","5","Mq12500 Oi Remote Control Inverter Generator 8000 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq12500-oi-remote-control-inverter-generator-8000-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_51766647617.jpeg","6","Mq12500 Oi Remote Control Inverter Generator 8000 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq12500-oi-remote-control-inverter-generator-8000-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_61766647617.jpeg","7","Mq12500 Oi Remote Control Inverter Generator 8000 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"Mq13000 Electrical Start Inverter Generator 9500 Max Starting Watts","mq13000-electrical-start-inverter-generator-9500-max-starting-watts","Mq13000 Electrical Start Inverter Generator 9500 Max Starting Watts","AIpower Kuwait","Generator","Gasoline Generator","Generator, Gasoline Generator, Inverter","TRUE","Active","MQ 13000","","Title","Default Title","","","","","","","","230","","","TRUE","","","","","","shopify","0","DENY","92000","g","TRUE","manual","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647574.jpeg","1","Mq13000 Electrical Start Inverter Generator 9500 Max Starting Watts","","FALSE","Mq13000 Electrical Start Inverter Generator 9500 Max Starting Watts","MQ13000 Electrical Start Inverter Generator 9500 Max Starting WattsRated Watts :- 9000W Model Number :- MQ 13000 Max Starting Watts :- 9500W Volts :- 230V Phase, Frequency :- Single, 50Hz/60Hz Starting Method :- Electrical Horse Power (HP) :- 20.0 HP Fuel Tank Capacity :- 26L Engine Oil Capacity :- 1.1L Noise Level :- ","","","","","MQ 13000","Gasoline Generator","Generator","New","FALSE","","","","","","{""model_number"":""MQ 13000"",""rated_watts"":""9000W"",""max_starting_watts"":""9500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""20.0 HP"",""fuel_tank_capacity"":""26L"",""engine_oil_capacity"":""1.1L"",""noise_level"":""83dBA @ 75%"",""socket"":""1 X 13A, 1 X 40A"",""net_weight"":""92KG"",""dimension"":""705mm X 545mm X 575mm"",""digital_display"":""3-in-1 Smart Digital Meter"",""fuel_type"":""Inverter""}"
"","mq13000-electrical-start-inverter-generator-9500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647573.jpeg","2","Mq13000 Electrical Start Inverter Generator 9500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq13000-electrical-start-inverter-generator-9500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647573.jpeg","3","Mq13000 Electrical Start Inverter Generator 9500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq13000-electrical-start-inverter-generator-9500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647574.jpeg","4","Mq13000 Electrical Start Inverter Generator 9500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq13000-electrical-start-inverter-generator-9500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647575.jpeg","5","Mq13000 Electrical Start Inverter Generator 9500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq13000-electrical-start-inverter-generator-9500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_51766647575.jpeg","6","Mq13000 Electrical Start Inverter Generator 9500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq13000-electrical-start-inverter-generator-9500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_61766647576.jpeg","7","Mq13000 Electrical Start Inverter Generator 9500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
